procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59476992    288 1017008    0    0  9359  3260 13114   23 11  3 86  0  0  0
 0  0      0 59463140    288 1017712    0    0   312     0 4776 3621  0  0 99  0  0  0
 2  1      0 59319232    288 1062804    0    0 29028     0 5465 8897  2  1 97  0  0  0
 5  0      0 59204496    288 1095612    0    0 30732     0 5657 15188  5  1 94  0  0  0
 2  0      0 59202732    288 1095916    0    0   248     0  812  573  0  0 100  0  0  0
31  0      0 59009100    288 1098756    0    0  2236     0 22825 131760 12  5 83  0  0  0
26  0      0 58960348    288 1098760    0    0     0     0 15856 161108 12  6 82  0  0  0
55  0      0 58977532    288 1098760    0    0     0     0 13809 158641 11  6 84  0  0  0
83  0      0 58977132    288 1101872    0    0  1800     0 14096 159087 11  6 83  0  0  0
15  0      0 58975888    288 1101872    0    0     0     0 13305 157683 11  5 83  0  0  0
42  0      0 58974968    288 1105608    0    0  3832     0 16475 158581 12  5 82  0  0  0
 1  0      0 58978184    288 1105884    0    0     0     0 13073 155315 11  5 83  0  0  0
83  0      0 58987616    288 1105884    0    0     0     0 13421 160603 11  6 84  0  0  0
63  0      0 58983712    288 1105884    0    0     0     0 13560 157554 11  6 84  0  0  0
30  0      0 58979368    292 1105940    0    0   132   136 14066 160753 11  5 84  0  0  0
37  0      0 58970840    292 1106172    0    0     0     0 13437 158019 11  6 84  0  0  0
58  0      0 58764628   1616 1173964    0    0 45941   312 25745 162918 15  7 78  1  0  0
62  0      0 58867616   1616 1177556    0    0  1224     0 23668 165502 15  6 80  0  0  0
59  0      0 58857764   1616 1193404    0    0 10652  5216 29550 184472 17  6 76  1  0  0
 1  0      0 58851028   1616 1193900    0    0    16   632 17639 168037 12  6 82  0  0  0
68  0      0 58847796   1616 1193900    0    0     0     0 14009 159777 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
71  0      0 58842176   1616 1193900    0    0     0     0 13401 158212 11  6 84  0  0  0
30  0      0 58839076   1616 1193900    0    0     0     0 13393 157088 11  6 84  0  0  0
23  0      0 58832836   1616 1193900    0    0     0     0 13590 159162 11  6 84  0  0  0
32  0      0 58829752   1616 1193900    0    0     0     0 13872 159240 11  5 84  0  0  0
 1  0      0 58832756   1616 1193900    0    0     0     0 13477 157482 11  6 84  0  0  0
37  0      0 58827796   1616 1193900    0    0     0     0 14286 160004 11  6 84  0  0  0
82  0      0 58825524   1616 1193900    0    0     0     0 13333 157574 11  5 84  0  0  0
63  0      0 58839824   1624 1199488    0    0  2352 12884 15708 162762 11  6 84  0  0  0
 1  0      0 58830344   1624 1199580    0    0     0     0 12901 157381 11  6 84  0  0  0
58  0      0 58828480   1624 1199580    0    0     0     0 13366 157388 11  5 84  0  0  0
63  0      0 58825400   1624 1199580    0    0     0     0 13365 159252 11  5 84  0  0  0
77  0      0 58819812   1624 1200092    0    0   564     0 14416 160560 11  6 83  0  0  0
55  0      0 58821096   1624 1200332    0    0    48   796 14189 158599 11  6 83  0  0  0
65  0      0 58820588   1624 1200348    0    0     0    72 13619 157634 11  6 84  0  0  0
39  0      0 58814088   1624 1200348    0    0     0     0 13226 156833 11  6 84  0  0  0
 6  0      0 58814988   1624 1200348    0    0     0     0 13455 158080 11  6 84  0  0  0
64  0      0 58808728   1624 1200348    0    0     0     0 12952 156857 11  6 84  0  0  0
47  0      0 58803868   1624 1200348    0    0    16    80 13505 157543 11  6 84  0  0  0
 1  0      0 58801880   1624 1200364    0    0     0   396 13464 158369 11  5 84  0  0  0
46  0      0 58794336   1624 1200364    0    0     0    72 13627 157579 11  5 84  0  0  0
44  0      0 58790468   1624 1200364    0    0     0     0 12784 155688 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0      0 58778452   1624 1200368    0    0     0     0 13284 157157 11  5 84  0  0  0
33  0      0 58769804   1624 1200368    0    0     0     0 13385 158018 11  6 84  0  0  0
56  0      0 58632244   1624 1319528    0    0 119900   544 42637 222532 11  7 82  1  0  0
34  0      0 58621120   1624 1324268    0    0  3728  3304 15377 161102 11  6 83  1  0  0
33  0      0 58610548   1624 1324272    0    0     0   200 13986 159124 11  6 84  0  0  0
14  0      0 58602584   1624 1324288    0    0    16    72 13610 157750 11  5 84  0  0  0
 1  0      0 58595924   1624 1324288    0    0     0     0 13473 158430 11  6 84  0  0  0
59  0      0 58596288   1624 1324288    0    0     0     0 13106 157957 11  6 84  0  0  0
62  0      0 58595792   1624 1324288    0    0     0     0 13391 157848 11  5 84  0  0  0
55  0      0 58595880   1624 1324288    0    0     0     0 14008 159351 11  5 84  0  0  0
42  0      0 58593480   1624 1324288    0    0     0     0 13735 158897 11  6 84  0  0  0
54  0      0 58592792   1624 1324288    0    0     0     0 13424 160155 11  6 84  0  0  0
60  0      0 58599768   1624 1324288    0    0     0   200 14082 162666 11  5 84  0  0  0
76  0      0 58590284   1624 1324288    0    0     0     0 13730 158403 11  6 84  0  0  0
42  0      0 58588284   1624 1324288    0    0     0     0 13391 157589 11  5 84  0  0  0
57  0      0 58594068   1624 1324288    0    0     0     0 13458 156996 11  5 84  0  0  0
73  0      0 58594820   1624 1324288    0    0     0     0 13725 158828 11  5 84  0  0  0
69  0      0 58595016   1624 1324288    0    0     0  2560 13315 158025 11  5 84  0  0  0
38  0      0 58599148   1624 1324288    0    0     0     0 13300 157465 11  6 84  0  0  0
72  0      0 58599600   1624 1324288    0    0     0     0 13396 157204 11  6 84  0  0  0
68  0      0 58603664   1624 1324288    0    0     0     0 13834 157934 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
61  0      0 58600712   1624 1324288    0    0     0     0 13883 158017 11  5 84  0  0  0
46  0      0 58605424   1624 1324288    0    0     0     8 13405 157642 11  5 84  0  0  0
 1  0      0 58586680   1624 1328516    0    0  1328  6988 14511 159173 11  5 84  0  0  0
59  0      0 58584244   1624 1328516    0    0     0     0 13455 157774 11  6 84  0  0  0
41  0      0 58578656   1624 1328516    0    0     0     0 13623 157427 11  5 84  0  0  0
69  0      0 58581264   1624 1328516    0    0     0     0 13842 159401 11  6 84  0  0  0
54  0      0 58580520   1624 1328516    0    0     0     0 13634 157259 11  5 84  0  0  0
76  0      0 58587612   1624 1328516    0    0     0     0 13319 157725 11  6 84  0  0  0
62  0      0 58578812   1624 1328516    0    0     0     0 13288 155739 11  6 84  0  0  0
60  0      0 58574720   1624 1328516    0    0     0     0 13328 157824 11  5 84  0  0  0
61  1      0 58497656   1624 1375856    0    0 22852   308 18617 163124 11  7 82  0  0  0
58  0      0 58361092   1624 1460568    0    0 43900    20 20018 165580 11  6 82  0  0  0
48  1      0 58360160   1624 1460616    0    0    60   672 13613 158364 11  6 84  0  0  0
52  0      0 58360032   1624 1460628    0    0     0     0 14810 162527 11  6 83  0  0  0
23  0      0 58354700   1624 1460628    0    0     0     0 14464 164861 11  6 84  0  0  0
32  0      0 58349356   1624 1460628    0    0     0     0 14365 161420 11  6 84  0  0  0
66  0      0 58343076   1624 1461096    0    0   124     0 15253 155408 11  6 83  0  0  0
60  0      0 58349536   1624 1461096    0    0     0    28 14551 159523 11  5 84  0  0  0
79  0      0 58346136   1624 1461096    0    0     0     0 13553 160599 11  6 84  0  0  0
14  0      0 58349960   1624 1461096    0    0     0     0 13738 159515 11  6 84  0  0  0
54  0      0 58343892   1624 1461096    0    0     0     0 14689 152749 12  5 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
86  0      0 58350332   1624 1461100    0    0     0     0 13122 157668 11  5 84  0  0  0
27  0      0 58354084   1624 1461100    0    0     0     0 13088 157094 11  5 84  0  0  0
81  0      0 58352232   1624 1461100    0    0     0     0 13132 159807 11  6 84  0  0  0
14  0      0 58357112   1624 1461100    0    0     0     0 13790 158134 11  6 84  0  0  0
 1  0      0 58354580   1624 1461100    0    0     0     0 14065 157969 11  6 84  0  0  0
49  0      0 58335296   1624 1461088    0    0     0   312 19442 139322 14  6 80  0  0  0
70  0      0 58350188   1624 1461100    0    0     0   316 20385 158335 15  5 80  0  0  0
 2  0      0 58385140   1624 1461536    0    0   392  5904 31945 199544 16  6 77  1  0  0
73  0      0 58381712   1624 1461568    0    0    32   632 17262 173670 11  6 83  0  0  0
57  0      0 58380152   1624 1461568    0    0     0     0 14443 166172 11  5 84  0  0  0
32  0      0 58386500   1624 1461568    0    0     0     0 13471 160739 11  6 84  0  0  0
 1  0      0 58395120   1624 1461568    0    0     0  4008 13539 159101 11  6 84  0  0  0
56  0      0 58398412   1624 1461568    0    0     0     0 12952 157169 11  5 84  0  0  0
43  0      0 58406188   1624 1461568    0    0     0     0 13054 158007 11  5 84  0  0  0
47  0      0 58405440   1624 1461568    0    0     0     0 14317 164356 11  6 84  0  0  0
 1  0      0 58403864   1624 1461568    0    0     0     0 13140 156726 11  6 84  0  0  0
 1  0      0 58408508   1624 1461568    0    0     0     0 13332 157452 11  6 84  0  0  0
49  0      0 58414108   1624 1461568    0    0     0     0 14187 153497 12  5 83  0  0  0
 1  0      0 58411108   1624 1461568    0    0     0     0 13413 156965 11  5 84  0  0  0
41  0      0 58409872   1624 1461564    0    0     0     0 13206 157901 11  5 84  0  0  0
31  0      0 58388040   1624 1472592    0    0  3280 18836 16331 166756 11  6 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 58380372   1624 1475000    0    0    56  2764 14515 158624 11  5 83  1  0  0
59  0      0 58380112   1624 1475000    0    0     0     0 13767 159615 11  6 84  0  0  0
54  0      0 58419824   1624 1475176    0    0     0   316 18670 146403 14  6 80  0  0  0
26  0      0 58408144   1624 1475464    0    0     0     0 20476 161764 15  5 80  0  0  0
19  0      0 58401564   1624 1478172    0    0    48  5224 29373 186745 16  6 77  1  0  0
56  0      0 58395516   1624 1478460    0    0    16   632 18125 171733 12  6 82  0  0  0
47  0      0 58393208   1624 1478492    0    0     0     0 13308 158545 11  6 84  0  0  0
64  0      0 58399820   1624 1478492    0    0     0     0 13453 158375 11  5 84  0  0  0
72  0      0 58408424   1624 1478492    0    0     0     0 12947 155164 11  6 84  0  0  0
 1  0      0 58407436   1624 1478492    0    0     0     0 13403 158394 11  5 84  0  0  0
93  0      0 58405352   1624 1478492    0    0     0     0 13050 158457 11  6 84  0  0  0
62  0      0 58405268   1624 1478492    0    0     0   200 13088 158362 11  6 84  0  0  0
28  0      0 58400844   1624 1478588    0    0     0     0 12971 158564 11  5 84  0  0  0
23  0      0 58399604   1624 1478588    0    0     0     0 13991 159733 11  6 84  0  0  0
12  0      0 58398420   1624 1478588    0    0     0     0 13433 160297 11  6 84  0  0  0
60  0      0 58393464   1624 1478588    0    0    16    72 12945 154795 11  6 84  0  0  0
72  0      0 58391444   1624 1478636    0    0     0     0 13459 158516 11  5 84  0  0  0
29  0      0 58393476   1624 1478636    0    0     0     0 13572 159717 11  5 84  0  0  0
47  0      0 58394704   1624 1478636    0    0     0     0 13190 156731 11  5 84  0  0  0
19  0      0 58388488   1624 1478636    0    0     0   200 13014 158163 11  6 84  0  0  0
46  0      0 58387052   1624 1478636    0    0     0     0 13269 158613 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
31  0      0 58400292   1624 1478752    0    0     0  2728 13243 158289 11  5 84  0  0  0
54  0      0 58401632   1624 1478752    0    0     0     0 12938 157525 11  5 84  0  0  0
 1  0      0 58396932   1624 1478752    0    0     0     0 12779 157656 11  5 84  0  0  0
74  0      0 58391540   1624 1478752    0    0     0     0 14056 162819 11  5 84  0  0  0
47  0      0 58396260   1624 1478752    0    0     0     0 14079 165814 11  5 84  0  0  0
 0  0      0 58391108   1624 1478920    0    0     4     0 2562 15689  2  1 98  0  0  0
 0  0      0 58604576   1624 1478788    0    0     0     0  965  626  0  0 100  0  0  0
 0  0      0 58622608   1624 1478788    0    0     0     0  507  272  0  0 100  0  0  0
 0  0      0 58619548   1624 1482968    0    0   656  7436 1537 2819  0  0 100  0  0  0
 0  0      0 58636940   1624 1483044    0    0     0     0  707  292  0  0 100  0  0  0
 0  0      0 58648672   1624 1483044    0    0     0     0  521  339  0  0 100  0  0  0
 0  0      0 58677680   1624 1483060    0    0    16   756  624  369  0  0 100  0  0  0
