procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59898112    288 965432    0    0 13434  3649 12715   19 10  2 88  0  0  0
 0  0      0 59892812    288 966308    0    0   304     0 3920 3471  0  0 100  0  0  0
 4  0      0 59733528    288 1013136    0    0 30944     0 5707 9611  2  1 97  0  0  0
 1  0      0 59639708    288 1042968    0    0 27020     0 5544 14083  5  1 94  0  0  0
 1  0      0 59643960    288 1043680    0    0   676     0  878  879  0  0 100  0  0  0
62  0      0 59445304    288 1045588    0    0  1472     0 15391 130472 13  5 82  0  0  0
 1  0      0 59442384    288 1045592    0    0     0     0 15623 160283 12  6 82  0  0  0
46  0      0 59439468    288 1045592    0    0     0     0 13829 164141 11  5 84  0  0  0
40  0      0 59477012    288 1047724    0    0  1724     0 14492 159482 11  6 83  0  0  0
33  0      0 59468744    288 1047684    0    0     0     0 12857 152271 11  5 84  0  0  0
79  0      0 59457492    288 1051444    0    0  3580     0 14863 152888 12  5 83  0  0  0
35  0      0 59442976    288 1051444    0    0     0     0 13191 154939 11  5 83  0  0  0
37  0      0 59436552    288 1051444    0    0     0     0 14269 159387 11  5 84  0  0  0
58  0      0 59444644    288 1051444    0    0     0     0 13482 156937 11  5 84  0  0  0
 1  0      0 59439132    288 1051444    0    0     0     0 13584 155388 11  5 84  0  0  0
62  0      0 59435784    288 1051444    0    0     0     0 14172 158643 11  5 84  0  0  0
47  0      0 59352388   1616 1121552    0    0 47260   312 31623 162847 16  7 76  1  0  0
21  0      0 59316216   1616 1132896    0    0  9608   632 20065 158323 15  5 79  0  0  0
 3  0      0 59289864   1616 1138292    0    0  1160  5144 30318 195486 16  6 77  1  0  0
60  0      0 59295956   1616 1139024    0    0    16   632 15793 161308 11  5 83  0  0  0
42  0      0 59293896   1616 1139024    0    0     0     0 14355 159169 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
