procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 60000188    288 950580    0    0 16188  3722 11963   16  8  2 90  0  0  0
 0  0      0 59987248    288 951252    0    0   312     0 4661 3511  0  0 99  0  0  0
 3  1      0 59859548    288 997852    0    0 30768     0 5705 9371  2  1 97  0  0  0
 2  0      0 59784908    288 1027488    0    0 25228     0 3992 13379  3  1 96  0  0  0
 0  0      0 59724640    288 1030084    0    0  2528     0 1689 2755  2  0 98  0  0  0
41  0      0 59547188    292 1032908    0    0  2316   136 8205 65074  7  3 91  0  0  0
60  0      0 59524276    292 1032956    0    0     0     0 16545 155723 14  6 81  0  0  0
60  0      0 59550160    292 1032956    0    0     0     0 14039 163548 11  6 83  0  0  0
19  0      0 59527292    292 1035124    0    0  1724     0 14632 163941 11  6 83  0  0  0
44  0      0 59594496    292 1035124    0    0     0     0 12746 154744 11  5 83  0  0  0
51  0      0 59577840    292 1038644    0    0  3488     0 15108 157317 12  5 82  0  0  0
51  0      0 59570372    292 1038796    0    0     0     0 14334 159749 11  5 83  0  0  0
61  0      0 59565444    292 1038796    0    0     0     0 13747 159749 11  6 84  0  0  0
49  0      0 59558992    292 1038796    0    0     0     0 14314 160740 11  6 84  0  0  0
45  0      0 59556884    292 1038796    0    0     0     0 12943 159238 11  5 84  0  0  0
52  0      0 59552476    292 1038796    0    0     0     0 13739 159855 11  5 84  0  0  0
47  0      0 59395516   1616 1106684    0    0 46101   312 25889 163280 15  7 77  1  0  0
63  0      0 59487172   1616 1110348    0    0  1240     0 22747 170840 15  5 80  0  0  0
48  0      0 59450076   1616 1123284    0    0 10508  5048 30770 194278 16  6 77  1  0  0
74  0      0 59446244   1616 1123804    0    0    16   948 18855 177867 12  6 82  0  0  0
40  0      0 59438200   1616 1123804    0    0     0     0 13512 159003 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
69  0      0 59433592   1616 1123804    0    0     0     0 13441 159253 11  5 84  0  0  0
56  0      0 59433760   1616 1123804    0    0     0     0 13662 159364 11  5 84  0  0  0
50  0      0 59426144   1616 1124040    0    0    36   408 14008 166097 11  6 84  0  0  0
31  0      0 59428296   1616 1124040    0    0     0     0 13826 164267 10  6 84  0  0  0
21  0      0 59425936   1616 1124040    0    0     0     0 13245 159640 11  5 84  0  0  0
 1  0      0 59427172   1616 1124040    0    0     0     0 13386 160213 11  5 84  0  0  0
63  0      0 59423104   1616 1124040    0    0     0     0 13486 159309 11  6 84  0  0  0
61  0      0 59421772   1616 1124872    0    0   496  5032 15034 165832 11  6 84  0  0  0
47  0      0 59413228   1624 1128952    0    0  1568  5708 14354 162080 11  6 84  0  0  0
45  0      0 59412992   1624 1128952    0    0     0     0 14238 166594 11  6 84  0  0  0
18  0      0 59401532   1624 1128952    0    0     0     0 13719 166494 10  6 84  0  0  0
71  0      0 59398576   1624 1128952    0    0     0     0 14041 166978 11  6 84  0  0  0
