procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 60160544    288 978276    0    0 11274  3500 13039   21 10  2 87  0  0  0
 0  0      0 60152552    288 979040    0    0   396     0 4661 3879  0  0 99  0  0  0
 3  0      0 59988300    288 1026092    0    0 30400     0 5886 9857  3  1 96  0  0  0
 1  1      0 59857928    292 1057388    0    0 29360   272 5700 14757  5  1 94  0  0  0
 2  0      0 59863572    292 1058624    0    0   676   136 1058  826  0  0 99  0  0  0
51  0      0 59646876    292 1060564    0    0  1504     0 16058 138867 12  5 83  0  0  0
32  0      0 59671768    292 1060568    0    0     0     0 14419 161025 12  6 82  0  0  0
57  0      0 59664876    292 1060568    0    0     0     0 14590 166336 11  5 84  0  0  0
63  0      0 59713196    292 1062812    0    0  1800     0 14830 160373 11  5 83  0  0  0
54  0      0 59710392    292 1064240    0    0  2012     0 14154 158387 11  6 84  0  0  0
37  0      0 59701052    292 1066672    0    0  1668     0 16056 161890 12  5 83  0  0  0
37  0      0 59694752    292 1066672    0    0     0     0 14815 165075 11  6 84  0  0  0
16  0      0 59691548    292 1066672    0    0     0     0 14703 162719 11  6 84  0  0  0
54  0      0 59691488    292 1066672    0    0     0     0 13823 157451 11  5 84  0  0  0
29  0      0 59687024    292 1066672    0    0     0     0 13740 157481 10  5 84  0  0  0
75  1      0 59630144    296 1100724    0    0 28292     0 21682 165647 11  6 82  0  0  0
 4  0      0 59033636   1616 1445984    0    0 299184   296 28441 162516 18  8 74  1  0  0
 4  0      0 58908504   1616 1459648    0    0 10056  2196 25143 161775 16  5 78  1  0  0
55  0      0 58883592   1616 1463164    0    0   804  4276 27480 195366 14  6 79  1  0  0
47  0      0 58890448   1616 1463484    0    0     0     0 14077 160002 11  6 84  0  0  0
57  0      0 58885628   1616 1463484    0    0     0     0 14442 158171 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  0      0 58881764   1616 1463484    0    0     0     0 13580 157184 11  5 84  0  0  0
51  0      0 58877500   1616 1463484    0    0     0     0 13491 157738 11  5 84  0  0  0
35  0      0 58869512   1616 1463484    0    0     0     0 13964 159154 11  5 84  0  0  0
83  0      0 58865748   1616 1463484    0    0     0     0 13700 157775 11  6 84  0  0  0
35  0      0 58864252   1616 1463484    0    0     0     0 14376 160281 11  5 84  0  0  0
