procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59913480    288 957720    0    0 14378  3634 12366   18  9  2 89  0  0  0
 0  0      0 59907324    288 958448    0    0   344     0 4305 3474  0  0 100  0  0  0
 3  1      0 59745740    292 1006112    0    0 32192   136 5815 10061  3  1 96  0  0  0
 2  0      0 59626280    292 1037196    0    0 26980  2232 4965 16324  3  1 96  0  0  0
 0  0      0 59586388    292 1040076    0    0  2952     0 2074 3270  2  0 98  0  0  0
39  0      0 59422444    292 1042752    0    0  2140     0 6956 55384  6  2 92  0  0  0
35  0      0 59415168    292 1042756    0    0     0     0 14161 150800 13  6 81  0  0  0
56  0      0 59431192    292 1042756    0    0     0     0 13152 157884 11  6 83  0  0  0
42  0      0 59453260    292 1044972    0    0  1800    72 14105 160896 11  6 84  0  0  0
60  0      0 59455172    292 1044968    0    0     0     0 13317 159464 11  5 84  0  0  0
74  0      0 59455120    292 1048624    0    0  3472     0 15282 155590 12  5 83  0  0  0
50  0      0 59453924    292 1048624    0    0     0     0 13941 157765 11  6 83  0  0  0
50  0      0 59454056    292 1048624    0    0     0     0 13774 161394 11  6 84  0  0  0
48  0      0 59453388    292 1048624    0    0     0     0 14313 160506 11  6 84  0  0  0
 1  0      0 59445620    292 1048560    0    0     0     0 13500 160115 11  6 84  0  0  0
74  0      0 59445164    292 1048560    0    0     0     0 13332 155363 11  5 84  0  0  0
56  0      0 59319824   1616 1117728    0    0 46857   312 28325 162377 15  7 77  1  0  0
 3  0      0 59342268   1616 1120300    0    0   488   316 22386 172805 15  5 79  0  0  0
63  0      0 59319632   1616 1135464    0    0 10568  5056 29875 193000 17  6 76  1  0  0
72  0      0 59313932   1616 1135820    0    0     0   632 18344 176704 12  6 82  0  0  0
55  0      0 59318380   1616 1135924    0    0    36   136 13657 159098 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
43  0      0 59317124   1616 1135924    0    0     0     0 13195 159952 11  5 84  0  0  0
65  0      0 59310384   1616 1135924    0    0     0     0 13160 158776 11  6 84  0  0  0
13  0      0 59307300   1616 1135924    0    0     0     0 13747 158995 11  6 84  0  0  0
52  0      0 59306408   1616 1135924    0    0     0     0 14191 161560 11  5 84  0  0  0
45  0      0 59304152   1616 1135924    0    0     0     0 13182 159561 11  6 84  0  0  0
61  0      0 59303264   1616 1135924    0    0     0     0 13348 157698 11  5 84  0  0  0
58  0      0 59311376   1616 1135924    0    0     0  2208 15142 168870 11  5 84  0  0  0
52  0      0 59305072   1624 1139052    0    0  1072  6172 15853 169567 11  6 84  0  0  0
27  0      0 59306472   1624 1139172    0    0     0     0 13812 162417 11  5 84  0  0  0
22  0      0 59299468   1624 1139172    0    0     0     0 13445 157830 11  5 84  0  0  0
 2  0      0 59302688   1624 1139172    0    0     0     0 13329 161706 11  6 84  0  0  0
59  0      0 59298856   1624 1139172    0    0     0     0 13524 158553 11  6 84  0  0  0
49  0      0 59301476   1624 1139188    0    0    16     4 13556 159001 11  5 84  0  0  0
54  0      0 59294740   1624 1139188    0    0     0     0 14540 167253 10  5 84  0  0  0
