procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59607308    288 1001140    0    0  9971  3309 13033   23 11  2 87  0  0  0
 0  0      0 59602300    292 1002312    0    0   532   136 5080 3676  0  0 99  0  0  0
 5  0      0 59442044    292 1049496    0    0 31100     0 5344 9806  2  1 96  0  0  0
 1  0      0 59338208    292 1081628    0    0 27648     0 5618 13972  5  1 94  0  0  0
 1  0      0 59332748    292 1082380    0    0   676     0  793  854  0  0 100  0  0  0
28  0      0 59109700    292 1084228    0    0  1608     0 17741 141406 12  5 82  0  0  0
56  0      0 59133672    292 1084228    0    0     0     0 15380 162374 12  6 82  0  0  0
34  0      0 59136168    292 1084228    0    0     0     0 13030 157347 11  6 83  0  0  0
17  0      0 59157104    292 1086340    0    0  1800     0 13647 157498 11  6 83  0  0  0
60  0      0 59145840    292 1089812    0    0  3716     0 16156 166128 12  6 82  0  0  0
51  0      0 59136344    292 1090240    0    0     0     0 14373 163994 11  6 84  0  0  0
39  0      0 59128228    292 1090240    0    0     0     0 13559 158291 11  5 84  0  0  0
12  0      0 59119532    292 1090240    0    0     0     0 13838 162806 11  6 84  0  0  0
 1  0      0 59116028    292 1090240    0    0     0     0 13521 157946 11  6 84  0  0  0
16  0      0 59107456    292 1090240    0    0     0     0 13464 158224 11  5 84  0  0  0
56  0      0 58927900   1608 1158356    0    0 45832   312 25323 162743 14  7 79  1  0  0
51  0      0 58977396   1616 1161632    0    0  1332     0 22851 155544 15  5 79  0  0  0
73  0      0 58938568   1616 1176876    0    0 10572  3644 24700 171973 16  6 78  1  0  0
52  0      0 58933088   1616 1178108    0    0    96  2208 22904 184075 13  6 80  0  0  0
39  0      0 58935348   1616 1178108    0    0     0     0 14159 161980 11  6 84  0  0  0
26  0      0 58925768   1616 1178108    0    0     0     0 13697 158893 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
26  0      0 58925872   1616 1178108    0    0     0     0 13967 159173 11  6 84  0  0  0
 1  0      0 58922652   1616 1178108    0    0     0     0 14101 159304 11  6 84  0  0  0
 1  0      0 58921776   1616 1178128    0    0     0     0 14198 160691 11  5 84  0  0  0
66  0      0 58923540   1616 1178128    0    0     0     0 13813 158415 11  5 84  0  0  0
62  0      0 58924248   1616 1178128    0    0     0     0 13634 157803 11  5 84  0  0  0
67  0      0 58918444   1616 1178128    0    0     0     0 13305 158704 11  5 84  0  0  0
