procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59513280    288 975160    0    0 11912  3493 12828   20 10  2 88  0  0  0
 0  0      0 59500836    288 975932    0    0   328     0 4242 3667  0  0 99  0  0  0
 5  0      0 59344452    288 1022820    0    0 30952     0 5645 9241  3  1 96  0  0  0
 0  0      0 59270588    288 1052472    0    0 27192     0 5624 14063  5  1 94  0  0  0
 6  0      0 59263464    288 1053224    0    0   676     0  768 1050  0  0 100  0  0  0
32  0      0 59046304    288 1055100    0    0  1496     0 16816 140942 13  5 82  0  0  0
37  0      0 58996692    288 1055104    0    0     0     0 14235 157818 13  6 82  0  0  0
72  0      0 59024900    288 1055104    0    0     0     0 12959 157528 11  5 84  0  0  0
29  0      0 59028100    288 1057232    0    0  1724     0 13854 159210 11  6 84  0  0  0
58  0      0 59018412    288 1060576    0    0  3620     0 13992 157317 12  6 83  0  0  0
80  0      0 59010584    288 1061032    0    0     0     0 14004 153679 12  5 83  0  0  0
51  0      0 58991760    288 1061032    0    0     0     0 13606 155846 11  5 83  0  0  0
43  0      0 59047744    288 1061032    0    0     0     0 13813 162292 11  5 84  0  0  0
51  0      0 59045920    288 1061032    0    0     0     0 13957 160020 11  5 84  0  0  0
 1  0      0 59036164    292 1061148    0    0   164   408 13779 157472 11  5 84  0  0  0
 6  0      0 58947404    296 1093552    0    0 26212   148 22605 163562 12  6 81  1  0  0
18  0      0 58880120   1616 1132824    0    0 20952   164 24374 163451 16  6 77  0  0  0
55  1      0 58870356   1616 1143408    0    0  9832  1720 24423 172924 16  6 78  1  0  0
19  1      0 58858180   1616 1148368    0    0   804  3964 27717 192107 15  6 78  1  0  0
72  0      0 58851604   1616 1148596    0    0     0   320 14032 159142 11  5 84  0  0  0
62  0      0 58846436   1616 1148596    0    0     0     0 13541 159261 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
41  0      0 58841380   1616 1148596    0    0     0     0 13668 161298 11  5 84  0  0  0
53  0      0 58839712   1616 1148596    0    0     0     0 13648 158660 11  5 84  0  0  0
20  0      0 58849692   1616 1148596    0    0     0     0 13455 158351 11  5 84  0  0  0
56  0      0 58853912   1616 1148596    0    0     0     0 13573 158617 11  5 84  0  0  0
41  0      0 58853344   1616 1148596    0    0     0     0 13439 154762 11  5 84  0  0  0
53  0      0 58853924   1616 1148596    0    0     0     0 13990 158174 11  5 84  0  0  0
 1  0      0 58869276   1616 1148596    0    0     0  2272 13582 159501 11  5 84  0  0  0
45  0      0 58867336   1624 1154708    0    0  2608 10272 15179 164360 11  6 84  0  0  0
53  0      0 58861312   1624 1154708    0    0     0     0 13565 157034 11  5 84  0  0  0
69  0      0 58869104   1624 1154708    0    0     0     0 13350 158427 11  5 84  0  0  0
56  0      0 58866080   1624 1154708    0    0     0     0 14373 165487 11  5 84  0  0  0
80  0      0 58864352   1624 1154708    0    0     0     0 14190 163637 11  5 84  0  0  0
33  0      0 58856112   1624 1154708    0    0     0     4 14415 160559 11  5 84  0  0  0
89  0      0 58854784   1624 1154708    0    0     0     0 13522 157870 11  5 84  0  0  0
58  0      0 58851908   1624 1154708    0    0     0   136 14146 158771 11  6 84  0  0  0
